[2023-05-22 23:03:00,971] (set_logging:INFO) Files stored in "fspace-inference/wandb/run-bkz5jtf1/files".
[2023-05-22 23:03:01,651] (get_data_dir:DEBUG) Using default data directory from environment "/datasets".
Files already downloaded and verified
Files already downloaded and verified
[2023-05-22 23:03:03,312] (get_dataset:INFO) Loaded "cifar10".
[2023-05-22 23:03:03,388] (get_data_dir:DEBUG) Using default data directory from environment "/datasets".
Files already downloaded and verified
Files already downloaded and verified
[2023-05-22 23:03:04,858] (get_dataset:INFO) Loaded "cifar100".
[2023-05-22 23:20:07,798] (train_model:DEBUG) {'epoch': 15, 'batch_loss': 0.4632590115070343, 'ce_loss': 0.4580615758895874, 'reg_loss': 5197.4462890625}
[2023-05-22 23:20:21,320] (train_model:DEBUG) {'epoch': 15, 'batch_loss': 0.5327337980270386, 'ce_loss': 0.528364896774292, 'reg_loss': 4368.9208984375}
[2023-05-22 23:20:35,299] (train_model:DEBUG) {'epoch': 16, 'batch_loss': 0.5274789333343506, 'ce_loss': 0.5235003232955933, 'reg_loss': 3978.6005859375}
[2023-05-22 23:20:48,835] (train_model:DEBUG) {'epoch': 16, 'batch_loss': 0.36355483531951904, 'ce_loss': 0.35929346084594727, 'reg_loss': 4261.36669921875}
[2023-05-22 23:21:02,370] (train_model:DEBUG) {'epoch': 16, 'batch_loss': 0.4087260365486145, 'ce_loss': 0.4052186608314514, 'reg_loss': 3507.379150390625}
[2023-05-22 23:21:15,903] (train_model:DEBUG) {'epoch': 16, 'batch_loss': 0.30026280879974365, 'ce_loss': 0.2963902950286865, 'reg_loss': 3872.501953125}
[2023-05-22 23:21:30,021] (train_model:DEBUG) {'epoch': 17, 'batch_loss': 0.3728310167789459, 'ce_loss': 0.3682812452316284, 'reg_loss': 4549.77880859375}
[2023-05-22 23:21:43,543] (train_model:DEBUG) {'epoch': 17, 'batch_loss': 0.4398678243160248, 'ce_loss': 0.4349914789199829, 'reg_loss': 4876.33984375}
[2023-05-22 23:21:57,075] (train_model:DEBUG) {'epoch': 17, 'batch_loss': 0.3614563047885895, 'ce_loss': 0.35746821761131287, 'reg_loss': 3988.07861328125}
[2023-05-22 23:22:10,613] (train_model:DEBUG) {'epoch': 17, 'batch_loss': 0.32950252294540405, 'ce_loss': 0.32551735639572144, 'reg_loss': 3985.176513671875}
[2023-05-22 23:22:24,621] (train_model:DEBUG) {'epoch': 18, 'batch_loss': 0.30828991532325745, 'ce_loss': 0.3038135766983032, 'reg_loss': 4476.3505859375}
[2023-05-22 23:22:38,183] (train_model:DEBUG) {'epoch': 18, 'batch_loss': 0.45337459444999695, 'ce_loss': 0.44900351762771606, 'reg_loss': 4371.08349609375}
[2023-05-22 23:22:51,724] (train_model:DEBUG) {'epoch': 18, 'batch_loss': 0.3810417950153351, 'ce_loss': 0.37659016251564026, 'reg_loss': 4451.640625}
[2023-05-22 23:23:05,266] (train_model:DEBUG) {'epoch': 18, 'batch_loss': 0.4012245535850525, 'ce_loss': 0.39693912863731384, 'reg_loss': 4285.43505859375}
[2023-05-22 23:23:19,313] (train_model:DEBUG) {'epoch': 19, 'batch_loss': 0.2898668050765991, 'ce_loss': 0.2857051491737366, 'reg_loss': 4161.65771484375}
[2023-05-22 23:23:32,852] (train_model:DEBUG) {'epoch': 19, 'batch_loss': 0.3824250400066376, 'ce_loss': 0.37793824076652527, 'reg_loss': 4486.80029296875}
[2023-05-22 23:23:46,397] (train_model:DEBUG) {'epoch': 19, 'batch_loss': 0.4930135905742645, 'ce_loss': 0.4879055321216583, 'reg_loss': 5108.04443359375}
[2023-05-22 23:23:59,946] (train_model:DEBUG) {'epoch': 19, 'batch_loss': 0.4625300467014313, 'ce_loss': 0.45854538679122925, 'reg_loss': 3984.656982421875}
